Citizenship Country (UN),Session Year,Session Year (copy),Student Level ,Latitude,Longitude,Students
Zimbabwe,2016,2016,Undergraduate,-19.098,30.047,20
Morocco,2016,2016,Undergraduate,31.129,-7.355,3
Mongolia,2016,2016,Undergraduate,46.516,102.564,36
Mexico,2016,2016,Undergraduate,22.925,-101.68,173
Mauritius,2016,2016,Undergraduate,-20.323,57.518,17
Maldives,2016,2016,Undergraduate,4.221,73.463,2
Malaysia,2016,2016,Undergraduate,4.416,102.099,190
Malawi,2016,2016,Undergraduate,-13.258,33.723,5
Luxembourg,2016,2016,Undergraduate,49.671,6.113,1
Lithuania,2016,2016,Undergraduate,55.342,24.23,2
Libya,2016,2016,Undergraduate,27.24,17.571,2
Lesotho,2016,2016,Undergraduate,-29.446,28.371,3
Lebanon,2016,2016,Undergraduate,34.161,36.021,7
Latvia,2016,2016,Undergraduate,57.017,25.0173,1
Laos,2016,2016,Undergraduate,19.595,102.538,1
Kyrgyzstan,2016,2016,Undergraduate,41.741,75.043,1
Kuwait,2016,2016,Undergraduate,29.396,47.326,3
Kenya,2016,2016,Undergraduate,0.806,38.166,110
Kazakhstan,2016,2016,Undergraduate,48.866,69.772,48
Jordan,2016,2016,Undergraduate,30.681,36.279,18
Japan,2016,2016,Undergraduate,35.962,137.855,337
Jamaica,2016,2016,Undergraduate,18.163,-77.477,10
Italy,2016,2016,Undergraduate,44.3713,11.1084,66
Israel,2016,2016,Undergraduate,30.992,34.834,16
Republic of Ireland,2016,2016,Undergraduate,53.214,-7.588,21
Iraq,2016,2016,Undergraduate,33.545,43.278,2
Iran,2016,2016,Undergraduate,33.408,54.0418,41
Indonesia,2016,2016,Undergraduate,-0.739,114.045,221
India,2016,2016,Undergraduate,22.741,78.236,570
Iceland,2016,2016,Undergraduate,64.826,-18.417,6
Hungary,2016,2016,Undergraduate,47.174,19.618,2
Honduras,2016,2016,Undergraduate,14.881,-87.123,3
Guatemala,2016,2016,Undergraduate,15.124,-90.711,5
Grenada,2016,2016,Undergraduate,12.107,-61.681,1
Greece,2016,2016,Undergraduate,39.787,21.617,5
Ghana,2016,2016,Undergraduate,7.258,-1.062,13
Germany,2016,2016,Undergraduate,51.3819,9.9877,127
Georgia,2016,2016,Undergraduate,42.05,43.576,1
The Gambia,2016,2016,Undergraduate,13.499,-14.641,3
France,2016,2016,Undergraduate,46.656,2.543,180
Finland,2016,2016,Undergraduate,62.716,26.192,4
Ethiopia,2016,2016,Undergraduate,8.435,38.786,22
Estonia,2016,2016,Undergraduate,58.777,25.977,1
El Salvador,2016,2016,Undergraduate,13.848,-89.229,17
Egypt,2016,2016,Undergraduate,26.16,28.742,44
Ecuador,2016,2016,Undergraduate,-1.151,-78.308,78
Dominican Republic,2016,2016,Undergraduate,19.01,-70.1685,2
Dominica,2016,2016,Undergraduate,15.458,-61.35,1
Denmark,2016,2016,Undergraduate,56.113,9.096,80
North Korea,2016,2016,Undergraduate,39.767,126.389,8
Czech Republic,2016,2016,Undergraduate,49.848,15.2812,8
Cyprus,2016,2016,Undergraduate,34.894,32.928,1
Croatia,2016,2016,Undergraduate,45.754,16.385,1
Ivory Coast,2016,2016,Undergraduate,7.497,-5.336,1
Costa Rica,2016,2016,Undergraduate,10.126,-84.075,7
Colombia,2016,2016,Undergraduate,3.794,-73.606,32
Macau,2016,2016,Undergraduate,,,22
Hong Kong,2016,2016,Undergraduate,,,304
China,2016,2016,Undergraduate,35.1753,99.3877,4136
Chile,2016,2016,Undergraduate,-23.176,-69.201,10
Cameroon,2016,2016,Undergraduate,4.4,12.131,4
Burundi,2016,2016,Undergraduate,-3.333,29.749,1
Burkina Faso,2016,2016,Undergraduate,12.673,-1.226,3
Bulgaria,2016,2016,Undergraduate,42.625,24.521,3
Brunei,2016,2016,Undergraduate,4.452,114.557,11
Brazil,2016,2016,Undergraduate,-11.694,-48.978,136
Botswana,2016,2016,Undergraduate,-22.126,23.662,6
Bosnia and Herzegovina,2016,2016,Undergraduate,44.342,17.804,1
Bolivia,2016,2016,Undergraduate,-16.71,-65.183,9
Bermuda,2016,2016,Undergraduate,32.3,-64.761,5
Belize,2016,2016,Undergraduate,17.108,-88.744,4
Belgium,2016,2016,Undergraduate,50.6745,4.4588,26
Belarus,2016,2016,Undergraduate,53.3292,27.9492,4
Barbados,2016,2016,Undergraduate,13.147,-59.557,1
Bangladesh,2016,2016,Undergraduate,24.598,90.1963,108
Bahrain,2016,2016,Undergraduate,26.028,50.55,10
The Bahamas,2016,2016,Undergraduate,24.616,-77.989,5
Azerbaijan,2016,2016,Undergraduate,40.46,47.883,9
Austria,2016,2016,Undergraduate,47.65,14.705,22
Australia,2016,2016,Undergraduate,-24.578,133.582,146
Argentina,2016,2016,Undergraduate,-33.166,-64.31,6
Albania,2016,2016,Undergraduate,40.654,20.076,1
Afghanistan,2016,2016,Undergraduate,34.023,65.5267,2
